委員ID,原始姓名,政黨,選區,八選區,原籍,七原籍,成長,七成長,大學學歷,最高學歷,前職業,任期起,任期迄,下任,性別,委員會,英文名
立委53,湯蕙禎,民進黨,不分區,不分區,桃園,基北桃,臺北,基北桃,臺灣大學法律系,臺灣大學法律系,公務人員,2020/2/1,2024/1/31,,女,第10屆第1會期：內政委員會;第10屆第2會期：內政委員會;第10屆第3會期：內政委員會;第10屆第3會期：程序委員會;第10屆第4會期：程序委員會;第10屆第4會期：內政委員會;第10屆第5會期：內政委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：內政委員會;第10屆第7會期：司法及法制委員會;第10屆第7會期：程序委員會;第10屆第7會期：經費稽核委員會;第10屆第8會期：程序委員會;第10屆第8會期：司法及法制委員會;第10屆第8會期：經費稽核委員會;,TangHui-Jane
立委79,費鴻泰,國民黨,臺北,基北桃,臺北,基北桃,臺北,基北桃,中興大學統計學系,肯塔基大學統計學博士,教授,2020/2/1,2024/1/31,徐巧芯,男,第10屆第1會期：財政委員會;第10屆第2會期：財政委員會;第10屆第2會期：修憲委員會;第10屆第2會期：司法及法制委員會;第10屆第3會期：司法及法制委員會;第10屆第3會期：程序委員會;第10屆第3會期：修憲委員會;第10屆第4會期：司法及法制委員會;第10屆第4會期：程序委員會;第10屆第5會期：財政委員會;第10屆第6會期：財政委員會;第10屆第6會期：紀律委員會;第10屆第7會期：財政委員會;第10屆第8會期：財政委員會;,Fai Hrong-Tai
立委119,黃世杰,民進黨,桃園,基北桃,桃園,基北桃,臺北,基北桃,臺灣大學法律、社會學系,哥倫比亞大學法學碩士,律師,2020/2/1,2024/1/31,涂權吉,男,第10屆第1會期：內政委員會;第10屆第2會期：內政委員會;第10屆第2會期：修憲委員會;第10屆第2會期：司法及法制委員會;第10屆第3會期：司法及法制委員會;第10屆第3會期：紀律委員會;第10屆第3會期：修憲委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：司法及法制委員會;第10屆第5會期：紀律委員會;第10屆第6會期：司法及法制委員會;第10屆第7會期：內政委員會;第10屆第8會期：內政委員會;,HuangShih-Chieh
立委121,黃秀芳,民進黨,彰化,中彰投,彰化,中彰投,彰化,中彰投,靜宜大學外文系,靜宜大學外文系,業務助理,2020/2/1,2024/1/31,連任,女,第10屆第1會期：社會福利及衛生環境委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第8會期：社會福利及衛生環境委員會;,Huang Shiou-Fang
立委120,黃國書,民進黨,臺中,中彰投,臺中,中彰投,臺中,中彰投,臺北藝術大學,中興大學國際政治研究所碩士,,2020/2/1,2024/1/31,羅廷瑋,男,第10屆第1會期：教育及文化委員會;第10屆第1會期：紀律委員會;第10屆第2會期：教育及文化委員會;第10屆第3會期：教育及文化委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：教育及文化委員會;第10屆第8會期：教育及文化委員會;,Huang Kuo-Shu
立委45,楊曜,民進黨,澎湖,離島,澎湖,離島,澎湖,離島,東海大學法律學系,東海大學法律學系,,2020/2/1,2024/1/31,連任,男,第10屆第1會期：社會福利及衛生環境委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第8會期：社會福利及衛生環境委員會;,Yang Yao
立委46,楊瓊瓔,國民黨,臺中,中彰投,臺中,中彰投,臺中,中彰投,東海大學社會學系,亞洲大學健康產業管理學系博士,,2020/2/1,2024/1/31,連任,女,第10屆第1會期：經濟委員會;第10屆第2會期：經濟委員會;第10屆第2會期：修憲委員會;第10屆第2會期：紀律委員會;第10屆第3會期：經濟委員會;第10屆第3會期：修憲委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第6會期：經濟委員會;第10屆第6會期：紀律委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Yang Chiung-Ying
立委54,溫玉霞,國民黨,不分區,不分區,嘉義,雲嘉,嘉義,雲嘉,未公開,密拉瑪大學MBA碩士,商會會長,2020/2/1,2024/1/31,,女,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第3會期：外交及國防委員會;第10屆第3會期：程序委員會;第10屆第4會期：程序委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第8會期：社會福利及衛生環境委員會;,WenYu-Hsia
立委67,萬美玲,國民黨,桃園,基北桃,桃園,基北桃,臺北,基北桃,明尼蘇達州立曼徹普立敦大學,廣州暨南大學國際關係研究所碩士,,2020/2/1,2024/1/31,連任,女,第10屆第1會期：教育及文化委員會;第10屆第2會期：教育及文化委員會;第10屆第2會期：紀律委員會;第10屆第3會期：教育及文化委員會;第10屆第4會期：程序委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第5會期：程序委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：教育及文化委員會;第10屆第8會期：教育及文化委員會;,WanMei-Ling
立委20,廖國棟,國民黨,原住民,原住民,臺東,宜花東,新北,基北桃,高雄醫學大學醫學系,太平洋大學道學碩士,醫師,2020/2/1,2024/1/31,,男,第10屆第1會期：經濟委員會;第10屆第1會期：紀律委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Liao Kuo-Tung
立委21,廖婉汝,國民黨,不分區,不分區,屏東,南高屏,高雄,南高屏,臺灣師範大學教育系,政治大學EMBA經營管理碩士,,2020/2/1,2024/1/31,,女,第10屆第1會期：社會福利及衛生環境委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第2會期：修憲委員會;第10屆第3會期：外交及國防委員會;第10屆第3會期：紀律委員會;第10屆第3會期：經費稽核委員會;第10屆第3會期：修憲委員會;第10屆第4會期：經費稽核委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,LiaoWan-Ju
立委59,管碧玲,民進黨,不分區,不分區,高雄,南高屏,臺中,中彰投,中興大學法商學院公共行政學系,臺灣大學政治學博士,教授,2020/2/1,2023/1/31,辭職,女,第10屆第1會期：內政委員會;第10屆第1會期：程序委員會;第10屆第1會期：紀律委員會;第10屆第2會期：程序委員會;第10屆第2會期：內政委員會;第10屆第2會期：修憲委員會;第10屆第3會期：內政委員會;第10屆第3會期：程序委員會;第10屆第3會期：修憲委員會;第10屆第4會期：程序委員會;第10屆第4會期：內政委員會;第10屆第5會期：內政委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：內政委員會;,Kuan Bi-Ling
立委85,趙天麟,民進黨,高雄,南高屏,高雄,南高屏,臺北,基北桃,世新大學口語傳播學系,中山大學公共政策碩士,電臺主持人,2020/2/1,2024/1/31,黃捷,男,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第2會期：修憲委員會;第10屆第3會期：外交及國防委員會;第10屆第3會期：紀律委員會;第10屆第3會期：修憲委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,Chao Tien-Lin
立委86,趙正宇,民進黨,桃園,基北桃,桃園,基北桃,桃園,基北桃,陸軍軍官學校,銘傳大學公共事務學碩士,陸軍上尉,2020/2/1,2024/1/31,邱若華,男,第10屆第1會期：交通委員會;第10屆第2會期：交通委員會;第10屆第3會期：交通委員會;第10屆第4會期：交通委員會;第10屆第5會期：交通委員會;第10屆第6會期：交通委員會;第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,Chao Cheng-Yu
立委6,劉世芳,民進黨,高雄,南高屏,高雄,南高屏,臺北,基北桃,淡江大學化學工程系,奧克拉荷馬州州立大學環境工程碩士,研究員,2020/2/1,2024/1/31,李柏毅,女,第10屆第1會期：司法及法制委員會;第10屆第2會期：司法及法制委員會;第10屆第2會期：修憲委員會;第10屆第3會期：司法及法制委員會;第10屆第3會期：修憲委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：交通委員會;第10屆第6會期：交通委員會;第10屆第6會期：紀律委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,Liu Shyh-Fang
立委7,劉建國,民進黨,雲林,雲嘉,雲林,雲嘉,雲林,雲嘉,稻江科技暨管理學院老人福祉與社會工作學系,南華大學旅遊管理學系暨旅遊管理碩士,,2020/2/1,2024/1/31,連任,男,第10屆第1會期：社會福利及衛生環境委員會;第10屆第1會期：紀律委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第3會期：外交及國防委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：司法及法制委員會;第10屆第6會期：司法及法制委員會;第10屆第7會期：司法及法制委員會;第10屆第8會期：司法及法制委員會;,Liu  Chien-Kuo
立委8,劉櫂豪,民進黨,臺東,宜花東,臺東,宜花東,臺東,宜花東,政治大學法律學系,政治大學法律學系,法官,2020/2/1,2024/1/31,黃建賓,男,第10屆第1會期：交通委員會;第10屆第2會期：交通委員會;第10屆第2會期：紀律委員會;第10屆第3會期：交通委員會;第10屆第4會期：交通委員會;第10屆第5會期：交通委員會;第10屆第6會期：交通委員會;第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,Liu Chao-Hao
立委70,蔡易餘,民進黨,嘉義,雲嘉,嘉義,雲嘉,嘉義,雲嘉,臺灣大學法律學系財經法律組,臺灣大學法律學系財經法學組,律師,2020/2/1,2024/1/31,連任,男,第10屆第1會期：司法及法制委員會;第10屆第2會期：修憲委員會;第10屆第2會期：紀律委員會;第10屆第3會期：經濟委員會;第10屆第3會期：修憲委員會;第10屆第4會期：經濟委員會;第10屆第5會期：交通委員會;第10屆第6會期：交通委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Tsai Yi-Yu
立委68,蔡培慧,民進黨,南投,中彰投,南投,中彰投,新北,基北桃,致理商業專科學校,臺灣大學生物產業傳播暨發展學系博士,教授,2023/3/13,2024/1/31,游顥,女,第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,Tsai Pei-Hui
立委71,蔡適應,民進黨,基隆,基北桃,基隆,基北桃,高雄,南高屏,東海大學政治學系國際關係組,臺北大學都市計劃研究所博士,,2020/2/1,2024/1/31,林沛祥,男,第10屆第1會期：外交及國防委員會;第10屆第1會期：紀律委員會;第10屆第2會期：外交及國防委員會;第10屆第3會期：外交及國防委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,Tsai Shih-Ying
立委69,蔡壁如,民眾黨,不分區,不分區,臺北,基北桃,屏東,南高屏,美和護理專科學校護理助產科,德明財經科技大學資訊管理碩士,護理師,2020/2/1,2022/10/17,辭職,女,第10屆第1會期：財政委員會;第10屆第1會期：經費稽核委員會;第10屆第2會期：財政委員會;第10屆第2會期：經費稽核委員會;第10屆第3會期：經濟委員會;第10屆第3會期：經費稽核委員會;第10屆第4會期：經費稽核委員會;第10屆第4會期：經濟委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第5會期：程序委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第6會期：程序委員會;,TsaiPi-Ru
立委72,蔣萬安,國民黨,臺北,基北桃,臺北,基北桃,臺北,基北桃,政治大學外交、法律學系,賓夕法尼亞大學法學院法律博士,律師,2020/2/1,2022/11/10,辭職,男,第10屆第1會期：社會福利及衛生環境委員會;第10屆第1會期：程序委員會;第10屆第2會期：程序委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第2會期：紀律委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第6會期：社會福利及衛生環境委員會;,Chiang Wan-An
立委93,鄭天財,國民黨,原住民,原住民,臺北,基北桃,花蓮,宜花東,臺灣大學法律學系,臺灣大學法律學系,公務人員,2020/2/1,2024/1/31,連任,男,第10屆第1會期：內政委員會;第10屆第2會期：內政委員會;第10屆第2會期：修憲委員會;第10屆第2會期：紀律委員會;第10屆第2會期：交通委員會;第10屆第3會期：交通委員會;第10屆第3會期：修憲委員會;第10屆第4會期：交通委員會;第10屆第5會期：內政委員會;第10屆第5會期：紀律委員會;第10屆第6會期：內政委員會;第10屆第7會期：內政委員會;第10屆第8會期：內政委員會;,Jeng Tian-Tsair
立委94,鄭正鈐,國民黨,新竹,竹苗,新竹,竹苗,新竹,竹苗,政治大學外交學系,中華大學科技管理學所博士,教授,2020/2/1,2024/1/31,連任,男,第10屆第1會期：教育及文化委員會;第10屆第2會期：教育及文化委員會;第10屆第3會期：教育及文化委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第6會期：教育及文化委員會;第10屆第6會期：紀律委員會;第10屆第7會期：教育及文化委員會;第10屆第8會期：教育及文化委員會;,ChengCheng-Chien
立委95,鄭運鵬,民進黨,桃園,基北桃,桃園,基北桃,臺北,基北桃,臺灣大學土木工程學系,臺灣大學土木工程學系,,2020/2/1,2024/1/31,牛煦庭,男,第10屆第1會期：司法及法制委員會;第10屆第3會期：經濟委員會;第10屆第4會期：經濟委員會;第10屆第5會期：司法及法制委員會;第10屆第6會期：司法及法制委員會;第10屆第7會期：司法及法制委員會;第10屆第8會期：司法及法制委員會;,Cheng Yun-Peng
立委96,鄭麗文,國民黨,不分區,不分區,臺北,基北桃,臺北,基北桃,臺灣大學法律學系,劍橋大學國際關係碩士,,2020/2/1,2024/1/31,,女,第10屆第1會期：司法及法制委員會;第10屆第1會期：程序委員會;第10屆第2會期：程序委員會;第10屆第2會期：司法及法制委員會;第10屆第2會期：修憲委員會;第10屆第3會期：司法及法制委員會;第10屆第3會期：程序委員會;第10屆第3會期：修憲委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：內政委員會;第10屆第6會期：內政委員會;第10屆第7會期：教育及文化委員會;第10屆第8會期：教育及文化委員會;,Cheng Li-Wun
立委118,魯明哲,國民黨,桃園,基北桃,桃園,基北桃,臺北,基北桃,政治大學企業管理學系,元智大學企業管理學系碩士,講師,2020/2/1,2024/1/31,連任,男,第10屆第1會期：交通委員會;第10屆第2會期：修憲委員會;第10屆第3會期：內政委員會;第10屆第3會期：修憲委員會;第10屆第4會期：內政委員會;第10屆第5會期：交通委員會;第10屆第6會期：交通委員會;第10屆第6會期：紀律委員會;第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,Lu Ming-Che
立委81,賴士葆,國民黨,臺北,基北桃,臺北,基北桃,臺中,中彰投,成功大學機械系,南加州大學工業與系統工程學博士,教授,2020/2/1,2024/1/31,連任,男,第10屆第1會期：財政委員會;第10屆第1會期：紀律委員會;第10屆第2會期：財政委員會;第10屆第3會期：財政委員會;第10屆第3會期：修憲委員會;第10屆第4會期：財政委員會;第10屆第5會期：財政委員會;第10屆第6會期：財政委員會;第10屆第7會期：財政委員會;第10屆第8會期：財政委員會;,LaiShyh-Bao
立委80,賴品妤,民進黨,新北,基北桃,新北,基北桃,新北,基北桃,臺北大學法律學系,臺北大學法律學系,,2020/2/1,2024/1/31,廖先翔,女,第10屆第1會期：教育及文化委員會;第10屆第2會期：教育及文化委員會;第10屆第3會期：教育及文化委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第5會期：紀律委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：內政委員會;第10屆第8會期：內政委員會;,LaiPin-Yu
立委84,賴香伶,民眾黨,不分區,不分區,臺北,基北桃,新竹,竹苗,輔仁大學企業管理學系,世新大學社會發展研究所,,2020/2/1,2024/1/31,,女,第10屆第1會期：司法及法制委員會;第10屆第2會期：修憲委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第3會期：程序委員會;第10屆第3會期：修憲委員會;第10屆第4會期：程序委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：內政委員會;第10屆第6會期：內政委員會;第10屆第7會期：司法及法制委員會;第10屆第8會期：司法及法制委員會;,LaiHsiang-Ling
立委82,賴惠員,民進黨,臺南,南高屏,臺南,南高屏,臺南,南高屏,嘉義大學獸醫科,中正大學政治所碩士,講師,2020/2/1,2024/1/31,連任,女,第10屆第1會期：內政委員會;第10屆第1會期：經費稽核委員會;第10屆第2會期：內政委員會;第10屆第2會期：經費稽核委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第5會期：紀律委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第8會期：社會福利及衛生環境委員會;,LaiHui-Yuan
立委83,賴瑞隆,民進黨,高雄,南高屏,高雄,南高屏,新北,基北桃,東吳大學政治學系,臺灣大學國家發展研究所兩岸組碩士,,2020/2/1,2024/1/31,連任,男,第10屆第1會期：經濟委員會;第10屆第2會期：經濟委員會;第10屆第2會期：修憲委員會;第10屆第2會期：紀律委員會;第10屆第3會期：經濟委員會;第10屆第3會期：修憲委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第6會期：經濟委員會;第10屆第6會期：紀律委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,LaiJui-Lung
立委78,謝衣?,國民黨,彰化,中彰投,彰化,中彰投,彰化,中彰投,淡江大學土木工程系,政治大學經濟學系博士,講師,2020/2/1,2024/1/31,連任,女,第10屆第1會期：經濟委員會;第10屆第2會期：經濟委員會;第10屆第2會期：修憲委員會;第10屆第3會期：經濟委員會;第10屆第3會期：修憲委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第5會期：紀律委員會;第10屆第6會期：程序委員會;第10屆第6會期：經濟委員會;第10屆第7會期：司法及法制委員會;第10屆第7會期：程序委員會;第10屆第7會期：經費稽核委員會;第10屆第8會期：程序委員會;第10屆第8會期：司法及法制委員會;第10屆第8會期：經費稽核委員會;,HsiehYi-Fong
立委97,鍾佳濱,民進黨,屏東,南高屏,屏東,南高屏,屏東,南高屏,臺灣大學歷史學系,屏東科技大學高階經營管理碩士在職專班,,2020/2/1,2024/1/31,連任,男,第10屆第1會期：司法及法制委員會;第10屆第2會期：修憲委員會;第10屆第3會期：財政委員會;第10屆第3會期：修憲委員會;第10屆第4會期：財政委員會;第10屆第5會期：財政委員會;第10屆第6會期：財政委員會;第10屆第6會期：紀律委員會;第10屆第7會期：財政委員會;第10屆第8會期：財政委員會;,Chung Chia-Pin
立委60,羅明才,國民黨,新北,基北桃,新北,基北桃,彰化,中彰投,致理商業專科學校企業管理科,四川大學經濟博士,,2020/2/1,2024/1/31,連任,男,第10屆第1會期：財政委員會;第10屆第2會期：財政委員會;第10屆第3會期：財政委員會;第10屆第4會期：財政委員會;第10屆第5會期：財政委員會;第10屆第5會期：紀律委員會;第10屆第6會期：財政委員會;第10屆第7會期：財政委員會;第10屆第8會期：財政委員會;,Lo Ming-Tsai
立委61,羅美玲,民進黨,不分區,不分區,南投,中彰投,其它,其它,臺灣師範大學地理系,彰化師範大學財務金融技術學系博士班,高中教師,2020/2/1,2024/1/31,連任,女,第10屆第1會期：內政委員會;第10屆第1會期：程序委員會;第10屆第2會期：程序委員會;第10屆第2會期：內政委員會;第10屆第3會期：內政委員會;第10屆第3會期：程序委員會;第10屆第4會期：程序委員會;第10屆第4會期：內政委員會;第10屆第5會期：內政委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：內政委員會;第10屆第7會期：程序委員會;第10屆第7會期：內政委員會;第10屆第8會期：程序委員會;第10屆第8會期：內政委員會;,LohMeei-Ling
立委62,羅致政,民進黨,新北,基北桃,新北,基北桃,新北,基北桃,政治大學外交系,加州大學洛杉磯分校政治學博士,教授,2020/2/1,2024/1/31,葉元之,男,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第2會期：修憲委員會;第10屆第2會期：司法及法制委員會;第10屆第3會期：司法及法制委員會;第10屆第3會期：修憲委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：外交及國防委員會;第10屆第5會期：紀律委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：外交及國防委員會;第10屆第8會期：外交及國防委員會;,Lo Chih-Cheng
立委73,蘇巧慧,民進黨,新北,基北桃,新北,基北桃,新北,基北桃,臺灣大學法律系,賓夕法尼亞大學法律博士,律師,2020/2/1,2024/1/31,連任,女,第10屆第1會期：社會福利及衛生環境委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第2會期：修憲委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第3會期：修憲委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第8會期：社會福利及衛生環境委員會;,SuChiao-Hui
立委74,蘇治芬,民進黨,雲林,雲嘉,雲林,雲嘉,臺北,基北桃,台南家政專科學校財務金融學系,雲林科技大學企業管理所碩士,,2020/2/1,2024/1/31,丁學忠,女,第10屆第1會期：經濟委員會;第10屆第2會期：經濟委員會;第10屆第3會期：經濟委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第6會期：經濟委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Su Chih-Fen
立委75,蘇震清,民進黨,屏東,南高屏,屏東,南高屏,屏東,南高屏,世界新聞專科學校公共關係科,屏東科技大學農企業管理系碩士,,2020/2/1,2024/1/31,徐富癸,男,第10屆第1會期：經濟委員會;第10屆第2會期：交通委員會;第10屆第3會期：交通委員會;第10屆第4會期：交通委員會;第10屆第5會期：經濟委員會;第10屆第6會期：經濟委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Su Chen-Ching
